StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
0,Recording_17,Process_14,2022-02-21T03:44:45+00:00,Press button in window,Firefox - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]",2.0,Go to collaborative platform,Event_77,Press button in window
1,Recording_17,Process_14,2022-02-21T03:44:49+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Mozilla Firefox',firefox,Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",3.0,Go to collaborative platform,Event_77,firefoxPress button in window
2,Recording_17,Process_14,2022-02-21T03:44:53+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox',,,,,,,Populate text field in window
3,Recording_17,Process_14,2022-02-21T03:44:54+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",5.0,Go to collaborative platform,Event_77,Send keys
4,Recording_17,Process_14,2022-02-21T03:45:02+00:00,Click UI element in window,Hyperlink 'Office  ... office.com' in Window 'o365 - Google Search — Mozilla Firefox',firefox,o365 - Google Search — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'o365 - Google Search — Mozilla Firefox\\'']['Hyperlink \\'Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 77 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",6.0,Go to collaborative platform,Event_77,firefoxClick UI element in window
5,Recording_17,Process_14,2022-02-21T03:45:08+00:00,Click UI element in window,Hyperlink 'SharePoint' in Window 'Microsoft Office Home — Mozilla Firefox',firefox,Microsoft Office Home — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Microsoft Office Home — Mozilla Firefox\\'']['Hyperlink \\'SharePoint\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -7 OffsetY: 5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",8.0,Go to collaborative platform,Event_77,firefoxClick UI element in window
6,Recording_17,Process_14,2022-02-21T03:45:23+00:00,Click UI element in window,Hyperlink 'Project RoadMap' in Window 'SharePoint — Mozilla Firefox',firefox,SharePoint — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'SharePoint — Mozilla Firefox\\'']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -10 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",9.0,Go to collaborative platform,Event_77,firefoxClick UI element in window
7,Recording_17,Process_14,2022-02-21T03:45:27+00:00,Click UI element in window,Hyperlink 'Documents' in Window 'Project RoadMap - Home — Mozilla Firefox',firefox,Project RoadMap - Home — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Project RoadMap - Home — Mozilla Firefox\\'']['Hyperlink \\'Documents\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 57 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",10.0,Go to collaborative platform,Event_77,firefoxClick UI element in window
8,Recording_17,Process_14,2022-02-21T03:45:35+00:00,Press button in window,Button 'Show actions' in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['Button \\'Show actions\\'']\n""]",11.0,Copy the link of document having Fire fighting mock drill agenda,Event_78,firefoxPress button in window
9,Recording_17,Process_14,2022-02-21T03:45:40+00:00,Select menu option in window,Menu Item 'Copy link' in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['Menu Item \\'Copy link\\'']\n""]",12.0,Copy the link of document having Fire fighting mock drill agenda,Event_78,firefoxSelect menu option in window
10,Recording_17,Process_14,2022-02-21T03:45:47+00:00,Press button in window,Button 'Copy' in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['Button \\'Copy\\'']\n""]",13.0,Copy the link of document having Fire fighting mock drill agenda,Event_78,firefoxPress button in window
11,Recording_17,Process_14,2022-02-21T03:45:51+00:00,Press button in window,Button 'Copy' 2 in Window 'Project  ...  — Mozilla Firefox',firefox,Project RoadMap - Documents - All Documents — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Project  ...  — Mozilla Firefox\\'']['Button \\'Copy\\' 2']\n""]",14.0,Copy the link of document having Fire fighting mock drill agenda,Event_78,firefoxPress button in window
12,Recording_17,Process_14,2022-02-21T03:46:01+00:00,Press button in window,"System Clock, 09:15 AM, ‎21-‎02-‎2022 in System Tray",,,"[""UIAutomation.PressButton Button: appmask['System Tray']['System Clock, 09:15 AM, \u200e21-\u200e02-\u200e2022']\n""]",15.0,Verify the suitable date to conduct mock drill in coming week,Event_79,Press button in window
13,Recording_17,Process_14,2022-02-21T03:46:10+00:00,Click UI element in window,Data Item '25' in Window 'Date and Time Usernamermation',ShellExperienceHost,Date and Time Usernamermation,"[""UIAutomation.Click Element: appmask['Window \\'Date and Time Usernamermation\\'']['Data Item \\'25\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -5 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",16.0,Verify the suitable date to conduct mock drill in coming week,Event_79,ShellExperienceHostClick UI element in window
14,Recording_17,Process_14,2022-02-21T03:46:18+00:00,Press button in window,Microsoft Teams - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",17.0,Go to the Approval app and create a approval request,Event_80,Press button in window
15,Recording_17,Process_14,2022-02-21T03:46:24+00:00,Press button in window,"Button 'Apps Toolbar' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Button \\'Apps Toolbar\\'']\n""]",18.0,Go to the Approval app and create a approval request,Event_80,TeamsPress button in window
16,Recording_17,Process_14,2022-02-21T03:46:36+00:00,Click UI element in window,"List Item 'Approvals store item' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['List Item \\'Approvals store item\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 140 OffsetY: 17 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",19.0,Go to the Approval app and create a approval request,Event_80,TeamsClick UI element in window
17,Recording_17,Process_14,2022-02-21T03:46:41+00:00,Press button in window,"Button 'Open' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Button \\'Open\\'']\n""]",20.0,Go to the Approval app and create a approval request,Event_80,TeamsPress button in window
18,Recording_17,Process_14,2022-02-21T03:46:51+00:00,Press button in window,"Button 'New approval request' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Button \\'New approval request\\'']\n""]",21.0,Go to the Approval app and create a approval request,Event_80,TeamsPress button in window
19,Recording_17,Process_14,2022-02-21T03:46:56+00:00,Click UI element in window,"List Item 'Basic request' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['List Item \\'Basic request\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -20 OffsetY: 12 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]",22.0,Go to the Approval app and create a approval request,Event_80,TeamsClick UI element in window
20,Recording_17,Process_14,2022-02-21T03:47:50+00:00,Populate text field in window,"Edit 'Name of request' in Pane 'Name Surname | Microsoft Teams, Main Window'",,,,,,,Populate text field in window
21,Recording_17,Process_14,2022-02-21T03:47:55+00:00,Click UI element in window,"Data Item 'Business Tip to Delhi' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Data Item \\'Business Tip to Delhi\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -2 OffsetY: 6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",24.0,Go to the Approval app and create a approval request,Event_80,TeamsClick UI element in window
22,Recording_17,Process_14,2022-02-21T03:47:57+00:00,Send keys,TextToSend:'sun',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: 'sun'\n""]",25.0,Go to the Approval app and create a approval request,Event_80,Send keys
23,Recording_17,Process_14,2022-02-21T03:48:14+00:00,Click UI element in window,"List Item 'Name Surname Email@Domain' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['List Item \\'Name Surname Email@Domain\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 42 OffsetY: -14 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",26.0,Go to the Approval app and create a approval request,Event_80,TeamsClick UI element in window
24,Recording_17,Process_14,2022-02-21T03:48:22+00:00,Select menu option in window,"Menu Item 'Add attachment' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.SelectMenuOption Control: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Menu Item \\'Add attachment\\'']\n""]",27.0,Go to the Approval app and create a approval request,Event_80,TeamsSelect menu option in window
25,Recording_17,Process_14,2022-02-21T03:48:44+00:00,Click UI element in window,"Group in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Group'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 59 OffsetY: -14 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",28.0,Go to the Approval app and create a approval request,Event_80,TeamsClick UI element in window
26,Recording_17,Process_14,2022-02-21T03:48:56+00:00,Populate text field in window,"Edit 'Name to display' in Pane 'Name Surname | Microsoft Teams, Main Window'",,,,,,,Populate text field in window
27,Recording_17,Process_14,2022-02-21T03:48:57+00:00,Click UI element in window,"Data Item 'Approved' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Data Item \\'Approved\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -3 OffsetY: 4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",30.0,Go to the Approval app and create a approval request,Event_80,TeamsClick UI element in window
28,Recording_17,Process_14,2022-02-21T03:48:59+00:00,Populate text field in window,"Edit 'Address' in Pane 'Name Surname | Microsoft Teams, Main Window'",,,,,,,Populate text field in window
29,Recording_17,Process_14,2022-02-21T03:49:02+00:00,Press button in window,"Button 'Attach' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.PressButton Button: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Button \\'Attach\\'']\n""]",32.0,Go to the Approval app and create a approval request,Event_80,TeamsPress button in window
30,Recording_17,Process_14,2022-02-21T03:49:07+00:00,Click UI element in window,"Data Item '23-11-2021 10:50:34 am' in Pane 'Name Surname | Microsoft Teams, Main Window'",Teams,"Name Surname | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'Name Surname | Microsoft Teams, Main Window\\'']['Data Item \\'23-11-2021 10:50:34 am\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -45 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n"", '# End of autogenerated actions using the desktop recorder\n']",,Send Approval request to higher authority,Event_81,TeamsClick UI element in window
0,Recording_18,Process_14,2022-02-21T04:49:38+00:00,Select menu option in window,Microsoft Edge (2) - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]",2.0,Open the web-based collaborative platform,Event_82,Select menu option in window
1,Recording_18,Process_14,2022-02-21T04:49:42+00:00,Click UI element in window,List Item 'New tab  ...  - Microsoft​ Edge' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New tab  ...  - Microsoft\u200b Edge\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 29 OffsetY: 9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",3.0,Open the web-based collaborative platform,Event_82,Click UI element in window
2,Recording_18,Process_14,2022-02-21T04:49:51+00:00,Populate text field in window,Edit 'Address and search bar' in Window 'New tab and  ...  - Microsoft​ Edge',,,,,,,Populate text field in window
3,Recording_18,Process_14,2022-02-21T04:49:52+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",5.0,Open the web-based collaborative platform,Event_82,Send keys
4,Recording_18,Process_14,2022-02-21T04:49:56+00:00,Click UI element in window,Hyperlink 'Office 365 login' in Window 'sharepoint  ...  - Microsoft​ Edge',msedge,sharepoint login - Search and 1 more page - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'sharepoint  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Office 365 login\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -40 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",6.0,Open the web-based collaborative platform,Event_82,msedgeClick UI element in window
5,Recording_18,Process_14,2022-02-21T04:50:01+00:00,Click UI element in window,Hyperlink 'SharePoint' in Window 'Microsoft  ...  - Microsoft​ Edge',msedge,Microsoft Office Home and 2 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'SharePoint\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 2 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",7.0,Open the web-based collaborative platform,Event_82,msedgeClick UI element in window
6,Recording_18,Process_14,2022-02-21T04:50:08+00:00,Click UI element in window,Hyperlink 'Project RoadMap' in Window 'SharePoint  ...  - Microsoft​ Edge' 2,msedge,SharePoint and 3 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'SharePoint  ...  - Microsoft\u200b Edge\\' 2']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 3 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",8.0,Get the Fire fighting mock drill agenda link,Event_83,msedgeClick UI element in window
7,Recording_18,Process_14,2022-02-21T04:50:34+00:00,Click UI element in window,Hyperlink 'Shared  ...  about an hour ago' in Window 'Project  ...  - Microsoft​ Edge',msedge,Project RoadMap - Home and 3 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Project  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Shared  ...  about an hour ago\\''] ClickType: UIAutomation.ClickType.RightClick OffsetX: -81 OffsetY: 79 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]",9.0,Get the Fire fighting mock drill agenda link,Event_83,msedgeClick UI element in window
8,Recording_18,Process_14,2022-02-21T04:50:38+00:00,Click UI element in window,Hyperlink 'Shared  ...  about an hour ago' in Window 'Project  ...  - Microsoft​ Edge',msedge,Project RoadMap - Home and 3 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Project  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Shared  ...  about an hour ago\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 0 OffsetY: -19 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",10.0,Get the Fire fighting mock drill agenda link,Event_83,msedgeClick UI element in window
9,Recording_18,Process_14,2022-02-21T04:50:46+00:00,Press button in window,Button 'Share' in Window 'Firefighting  ...  - Microsoft​ Edge',msedge,Firefighting mockdrill agenda.docx and 3 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Firefighting  ...  - Microsoft\u200b Edge\\'']['Button \\'Share\\'']\n""]",11.0,Get the Fire fighting mock drill agenda link,Event_83,msedgePress button in window
10,Recording_18,Process_14,2022-02-21T04:50:49+00:00,Press button in window,Button 'Copy' in Window 'Firefighting  ...  - Microsoft​ Edge',msedge,Firefighting mockdrill agenda.docx and 3 more pages - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Firefighting  ...  - Microsoft\u200b Edge\\'']['Button \\'Copy\\'']\n""]",12.0,Get the Fire fighting mock drill agenda link,Event_83,msedgePress button in window
11,Recording_18,Process_14,2022-02-21T04:50:59+00:00,Press button in window,Outlook 2013 - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Outlook 2013 - 1 running window']\n""]",13.0,Check appropriate date to organize Fire fighting mock drill in coming week,Event_84,Press button in window
12,Recording_18,Process_14,2022-02-21T04:51:03+00:00,Press button in window,Button 'Calendar' in Window 'Inbox - Email@Domain - Outlook',OUTLOOK,Inbox - Email@Domain - Outlook,"[""UIAutomation.PressButton Button: appmask['Window \\'Inbox - Email@Domain - Outlook\\'']['Button \\'Calendar\\'']\n""]",14.0,Check appropriate date to organize Fire fighting mock drill in coming week,Event_84,OUTLOOKPress button in window
13,Recording_18,Process_14,2022-02-21T04:51:08+00:00,Click UI element in window,"List 'Month View,  ...  6, 2022 12:00am' in Window 'Calendar - Email@Domain - Outlook'",OUTLOOK,Calendar - Email@Domain - Outlook,"[""UIAutomation.Click Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['List \\'Month View,  ...  6, 2022 12:00am\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -238 OffsetY: -161 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomRight\n""]",15.0,Check appropriate date to organize Fire fighting mock drill in coming week,Event_84,OUTLOOKClick UI element in window
14,Recording_18,Process_14,2022-02-21T04:51:14+00:00,Click UI element in window,"List 'Month View,  ...  6, 2022 12:00am' in Window 'Calendar - Email@Domain - Outlook'",OUTLOOK,Calendar - Email@Domain - Outlook,"[""UIAutomation.Click Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['List \\'Month View,  ...  6, 2022 12:00am\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -242 OffsetY: -154 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomRight\n""]",16.0,Check appropriate date to organize Fire fighting mock drill in coming week,Event_84,OUTLOOKClick UI element in window
15,Recording_18,Process_14,2022-02-21T04:51:25+00:00,Select menu option in window,Microsoft Edge (2) - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]",17.0,Create an Approval request via Approval flow,Event_85,Select menu option in window
